experiment,date,diagnostic,module_path,module_type,mean,min,max
signed_lkj_eta_2,2026-01-30,time_varying_effective_lengthscale_eval,covar_module.kernels.0,_Module,133.09294715412972,133.09294715412972,133.09294715412972
signed_lkj_eta_2,2026-01-30,outputscale,covar_module.kernels.0.base_kernel.kernels.0,MaternKernel,0.22847123873642056,0.22847123873642056,0.22847123873642056
signed_lkj_eta_2,2026-01-30,lengthscale,covar_module.kernels.0.base_kernel.kernels.0.base_kernel,MaternKernel,0.35025634151252893,0.35025634151252893,0.35025634151252893
signed_lkj_eta_2,2026-01-30,outputscale,covar_module.kernels.0.base_kernel.kernels.1,MaternKernel,0.033192762810280683,0.033192762810280683,0.033192762810280683
signed_lkj_eta_2,2026-01-30,lengthscale,covar_module.kernels.0.base_kernel.kernels.1.base_kernel,MaternKernel,0.5554128091583831,0.43976993038726064,0.6515036724362981
signed_lkj_eta_2,2026-01-30,outputscale,covar_module.kernels.0.base_kernel.kernels.2,MaternKernel,0.7417214961346709,0.7417214961346709,0.7417214961346709
signed_lkj_eta_2,2026-01-30,lengthscale,covar_module.kernels.0.base_kernel.kernels.2.base_kernel,MaternKernel,0.5509666077319599,0.1872425299074335,0.7206389181843136
signed_lkj_eta_2,2026-01-30,outputscale,covar_module.kernels.0.base_kernel.kernels.3,RQKernel,0.21051100559180222,0.21051100559180222,0.21051100559180222
signed_lkj_eta_2,2026-01-30,lengthscale,covar_module.kernels.0.base_kernel.kernels.3.base_kernel,RQKernel,0.5953927263983835,0.4300292215550128,0.6932555689186802
signed_lkj_eta_2,2026-01-30,outputscale,covar_module.kernels.0.base_kernel.kernels.4,LinearKernel,0.30391262240133454,0.30391262240133454,0.30391262240133454
signed_lkj_eta_2,2026-01-30,outputscale,covar_module.kernels.0.base_kernel.kernels.5,ProductKernel,0.020528578857617476,0.020528578857617476,0.020528578857617476
signed_lkj_eta_2,2026-01-30,lengthscale,covar_module.kernels.0.base_kernel.kernels.5.base_kernel.kernels.0,MaternKernel,0.3133392810942544,0.3133392810942544,0.3133392810942544
signed_lkj_eta_2,2026-01-30,lengthscale,covar_module.kernels.0.base_kernel.kernels.5.base_kernel.kernels.1,MaternKernel,0.5186311206355131,0.3710333754759336,0.6923957666459972
signed_lkj_eta_2,2026-01-30,outputscale,covar_module.kernels.0.base_kernel.kernels.6,ProductKernel,0.07026892588815258,0.07026892588815258,0.07026892588815258
signed_lkj_eta_2,2026-01-30,lengthscale,covar_module.kernels.0.base_kernel.kernels.6.base_kernel.kernels.0,MaternKernel,0.32944950483539553,0.32944950483539553,0.32944950483539553
signed_lkj_eta_2,2026-01-30,lengthscale,covar_module.kernels.0.base_kernel.kernels.6.base_kernel.kernels.1.kernels.0,MaternKernel,0.5587224504158287,0.41885736514634864,0.6323679289724289
signed_lkj_eta_2,2026-01-30,lengthscale,covar_module.kernels.0.base_kernel.kernels.6.base_kernel.kernels.1.kernels.1,RQKernel,0.5756633216789031,0.5201498673497572,0.6118237291746799
signed_lkj_eta_2,2026-01-30,outputscale,covar_module.kernels.0.base_kernel.kernels.7,ProductKernel,0.0035543306399957375,0.0035543306399957375,0.0035543306399957375
signed_lkj_eta_2,2026-01-30,lengthscale,covar_module.kernels.0.base_kernel.kernels.7.base_kernel.kernels.0.kernels.0,MaternKernel,0.5813003624739981,0.5322603922985872,0.6126073386569428
signed_lkj_eta_2,2026-01-30,lengthscale,covar_module.kernels.0.base_kernel.kernels.7.base_kernel.kernels.0.kernels.1,RQKernel,0.587449806595582,0.5701892195103694,0.6027683651368131
signed_lkj_eta_2,2026-01-30,lengthscale,covar_module.kernels.0.base_kernel.kernels.7.base_kernel.kernels.1,MaternKernel,0.6167212277817105,0.45074178936515696,0.8477215973045068
signed_lkj_eta_2,2026-01-30,likelihood_noise,likelihood,HadamardGaussianLikelihood,0.006731086893589814,0.006698404972600556,0.006747719891958752
